source_url,district,full_address,grade,usage,property_type,completion_year,title_status,management_company,developers,transportation,total_floors,floor_area,ceiling_height,ac_system,lifts,carpark,property_id,building_name,zone
https://oir.centanet.com/en/property/office/hong-kong-admiralty-lippo-centre-tower-2/detail/ea0d8e9f-0de0-4b04-ac83-53e6c602859a/,Admiralty,89 Queensway,A Grade,Office,Commercial,,Multiple Owner,Savills Property Management Limited,Sino Land Company Limited,"MTR, Bus, Taxi, Minibus, Tramways",,"11,563 - 15,671ft² approx",About 2.4 M,Central Mon-Fri 8:00-19:00 Sat 8:00-14:00,,Yes,ea0d8e9f-0de0-4b04-ac83-53e6c602859a,"Lippo Centre, Tower 2",Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-lippo-centre-tower-1/detail/a5c52d7e-e865-40b4-b594-ba7a33a0e899/,Admiralty,89 Queensway,A Grade,Office,Commercial,,Multiple Owner,Savills Property Management Limited,Sino Land Company Limited,"Tramways, Minibus, Taxi, Bus, MTR",,"9,701 - 19,130ft² approx",About 2.4 M,Central Mon-Fri 8:00-19:00 Sat 8:00-14:00,,Yes,a5c52d7e-e865-40b4-b594-ba7a33a0e899,"Lippo Centre, Tower 1",Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-admiralty-centre-tower-1/detail/09eeef57-e096-4827-955f-5aadc50263d6/,Admiralty,18 Harcourt Road,A Grade,Office,Commercial,,Multiple Owner,MTR Corporation Ltd,Cheung Kong (Holdings) Limited,"MTR, Tramways, Minibus, Bus, Taxi",,"16,138 - 23,000ft² approx",About 2.4 M,Central Mon-Fri 8:00-18:00 Sat 8:00-13:00 商場每日8:00am-8:00pm,,No,09eeef57-e096-4827-955f-5aadc50263d6,Admiralty Centre Tower 1,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-far-east-finance-centre/detail/8d493726-ea4c-4864-aaa8-c677373415c5/,Admiralty,16 Harcourt Road,A Grade,Office,Commercial,,Multiple Owner,Sino Land Company Limited,,"MTR, Bus, Taxi, Minibus, Tramways",,"10,800ft² approx",About 2.4 M,Central Mon-Fri 8:00-19:00 Sat 8:00-14:00,,Yes,8d493726-ea4c-4864-aaa8-c677373415c5,Far East Finance Centre,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-united-centre/detail/8945cdfc-f462-48e6-a917-b6e0be4709bf/,Admiralty,95 Queensway,A Grade,Office,Commercial,,Multiple Owner,Stratton Property Management Limited,World-Wide Properties Corporation Limited,"MTR, Bus, Taxi, Minibus, Tramways",,"20,489 - 31,410ft² approx",About 2.4 M,Central Mon-Fri : 7:30am -7;30pm Sat : 7:30am-1:30pm,,Yes,8945cdfc-f462-48e6-a917-b6e0be4709bf,United Centre,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-admiralty-centre-tower-2/detail/9bb3bed9-b3e1-43a2-a6e0-2c97ff3ed3f5/,Admiralty,18 Harcourt Road,A Grade,Office,Commercial,,Multiple Owner,MTR Corporation Ltd,Cheung Kong (Holdings) Limited,"Taxi, Bus, Minibus, Tramways, MTR",,"10,627ft² approx",About 2.4 M,"Central Mon-Fri 8:00-18:00 
Sat 8:00-13:00",,No,9bb3bed9-b3e1-43a2-a6e0-2c97ff3ed3f5,Admiralty Centre Tower 2,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-fairmont-house/detail/031426f8-db10-4f0a-afac-e351cd3a32c9/,Admiralty,8 Cotton Tree Drive,A Grade,Office,Commercial,,Multiple Owner,MTR Corporation Limited,KHI Holdings Group,"MTR, Bus, Taxi, Minibus, Tramways",,,About 2.59 M,"Central Mon-Fri 8:00AM-6:30PM, Sat 8:00AM-1:00PM",,No,031426f8-db10-4f0a-afac-e351cd3a32c9,Fairmont House,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-one-pacific-place/detail/f2e95b3c-0214-4534-9fd5-44cf9dfafb21/,Admiralty,88 Queensway,A Grade,Office,Commercial,,Single Owner,Swire Properties Management Limited,John Swire & Sons (Hong Kong) Limited,"MTR, Tramways, Bus, Taxi, Minibus",,"16,790 - 22,508ft² approx",About 2.6 M,Central Mon-Fri 08:00-19:00 Sat 08:00-14:00 (2017-08),,Yes,f2e95b3c-0214-4534-9fd5-44cf9dfafb21,One Pacific Place,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-two-pacific-place/detail/2eefdbb6-4028-4632-aa50-d499942f7176/,Admiralty,88 Queensway,A Grade,Office,Commercial,,Single Owner,Swire Properties Management Limited,John Swire & Sons (Hong Kong) Limited,"Minibus, Taxi, Bus, Tramways, MTR",,"20,500 - 22,000ft² approx",About 2.5 M,"Central Mon-Fri 08:00-19:00 Sat 08:00-14:00 (2016-06)
Whole Floor $500/hour  min 1 Helf Floor $250/Hour min",,Yes,2eefdbb6-4028-4632-aa50-d499942f7176,Two Pacific Place,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-admiralty-citic-tower/detail/79c4d7ed-0abe-4212-be29-18207eaaf986/,Admiralty,1 Tim Mei Avenue,A Grade,Office,Commercial,,Single Owner,CITIC Tower Property Management Company Limited,"CITIC Pacific Property Agents Limited, Kerry Real Estate Agency Limited","MTR, Bus, Taxi, Minibus, Tramways",,"3,424 - 18,080ft² approx",About 3.65 M,"Central Mon-Fri 8:00AM - 7:00PM , Sat 8:00AM-2:00PM",,Yes,79c4d7ed-0abe-4212-be29-18207eaaf986,Citic Tower,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-happy-valley-chinachem-leighton-plaza/detail/a4ace4eb-cb63-46ca-abda-49746ec403dd/,Happy Valley,25-31 Leighton Road,B Grade,Office,Commercial,,Single Owner,華懋集團,,"MTR, Bus, Taxi, Minibus, Tramways",,"3,963ft² approx",About 2.4 M,"Central Mon-Fri 8:30-6:30
Sat 8:30-1:30",,No,a4ace4eb-cb63-46ca-abda-49746ec403dd,Chinachem Leighton Plaza,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-chai-wan-hong-man-industrial-centre/detail/2c3b941c-0cae-4c3d-bf6c-16497045546c/,Chai Wan,2 Hong Man Street,,Industrial,Industrial,,Multiple Owner,,Cheung Kong (Holdings) Limited,"MTR, Bus, Minibus",,"27,124ft² approx",,Individual,,"Cargo Truck 2 Parking Spaces, Lorry 30 Parking Spaces, Private Car 30 Parking Spaces",2c3b941c-0cae-4c3d-bf6c-16497045546c,Hong Man Industrial Centre,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-chai-wan-trend-centre/detail/76fabe1b-3720-4819-8983-aec97c1a45dd/,Chai Wan,29-31 Cheung Lee Street,,Industrial,Industrial,,Multiple Owner,,,"MTR, Bus, Minibus",,,,1.233,,,76fabe1b-3720-4819-8983-aec97c1a45dd,Trend Centre,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-chai-wan-honour-industrial-centre/detail/5cf5644e-82ff-45e5-8eab-70ba8b46826b/,Chai Wan,6 Sun Yip Street,,Industrial,Industrial,,Multiple Owner,HONG YIP,Sun Hung Kai Properties Limited,"Bus, Minibus",,,,Individual,,"Cargo Truck 2 Parking Spaces, Lorry 38 Parking Spaces, Private Car 38 Parking Spaces",5cf5644e-82ff-45e5-8eab-70ba8b46826b,Honour Industrial Centre,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-chai-wan-cheung-tat-centre/detail/c8a89772-81bf-4106-a949-7c1b65a5f90d/,Chai Wan,18 Cheung Lee Street,,Industrial,Industrial,,Multiple Owner,WELLART PROPERTY MANAGEMENT LTD,Lai Sun Development Company Limited,"MTR, Bus, Minibus",,"7,888ft² approx",,Individual,,"Lorry 10 Parking Spaces, Private Car 12 Parking Spaces",c8a89772-81bf-4106-a949-7c1b65a5f90d,Cheung Tat Centre,Hong Kong
https://oir.centanet.com/en/property/office/hong-kong-chai-wan-chi-ko-industrial-building/detail/8b3f9b0e-60cd-428c-8caa-c7e4b161d0f6/,Chai Wan,17 Cheung Lee Street,,Industrial,Industrial,,Multiple Owner,,,"MTR, Bus, Minibus",,,,,,,8b3f9b0e-60cd-428c-8caa-c7e4b161d0f6,Chi Ko Industrial Building,Hong Kong
